review_id,k,scale,theta,tau2,conformal_lo,conformal_hi,conformal_width,standard_lo,standard_hi,standard_width,hksj_lo,hksj_hi,hksj_width,cov_conformal,cov_standard,cov_hksj,width_ratio_conf_std,width_ratio_conf_hksj,conformal_wider
CD009749,25,ratio,0.0594,0,-1.6671,1.7858,3.4529,-0.154,0.2727,0.4267,-0.113,0.2318,0.3448,0.88,0.4,0.36,8.092,10.013,True
CD009788,5,ratio,-0.388,0.0116,-1.8273,1.0512,2.8784,-0.9938,0.2177,1.2116,-0.9213,0.1452,1.0665,0.8,0.8,0.8,2.376,2.699,True
CD010001,25,ratio,0.3713,0.0295,-0.4638,1.2065,1.6703,-0.0192,0.7618,0.781,-0.0191,0.7618,0.7809,0.88,0.56,0.56,2.139,2.139,True
CD010145,9,ratio,1.2174,0,-1.0387,3.4735,4.5122,0.3223,2.1124,1.7901,0.7905,1.6442,0.8537,1.0,0.889,0.556,2.521,5.286,True
CD010189,6,ratio,0.0966,0.0237,-0.4671,0.6603,1.1274,-0.4313,0.6245,1.0559,-0.3897,0.5829,0.9726,1.0,1.0,1.0,1.068,1.159,True
CD010216,7,ratio,-0.0746,0,-1.248,1.0988,2.3468,-0.5029,0.3537,0.8566,-0.4667,0.3176,0.7843,0.714,0.429,0.429,2.74,2.992,True
CD010290,7,ratio,0.3627,0,-0.6885,1.4138,2.1023,-0.422,1.1474,1.5694,-0.0843,0.8097,0.894,1.0,1.0,0.714,1.34,2.352,True
CD010779,5,difference,0.0629,0.0298,-0.6499,0.7756,1.4255,-0.6975,0.8233,1.5208,-0.6034,0.7292,1.3326,1.0,1.0,1.0,0.937,1.07,False
CD010856,12,difference,0.983,0.55,-0.8158,2.7818,3.5976,-0.7435,2.7096,3.4531,-0.7293,2.6953,3.4246,1.0,1.0,1.0,1.042,1.051,True
CD010966,67,ratio,-0.2072,0,-1.5779,1.1634,2.7413,-0.3594,-0.0551,0.3044,-0.3262,-0.0883,0.2379,0.821,0.209,0.164,9.007,11.521,True
CD011039,5,ratio,-0.2753,0.2468,-1.4918,0.9412,2.433,-2.0862,1.5356,3.6218,-1.9085,1.3579,3.2664,0.8,1.0,1.0,0.672,0.745,False
CD011044,26,ratio,0.5725,0.0716,-0.7392,1.8842,2.6234,-0.0128,1.1578,1.1707,-0.0106,1.1556,1.1663,0.962,0.731,0.731,2.241,2.249,True
CD011120,9,ratio,0.1035,0,-0.8749,1.0819,1.9569,-0.1909,0.3979,0.5887,-0.1216,0.3286,0.4502,1.0,0.667,0.556,3.324,4.347,True
CD011197,6,ratio,0.2627,0,-1.3743,1.8997,3.274,-0.7569,1.2822,2.0391,-0.509,1.0344,1.5434,1.0,0.5,0.333,1.606,2.121,True
CD011204,13,ratio,0.4369,0.0895,-0.396,1.2697,1.6656,-0.261,1.1347,1.3957,-0.2464,1.1201,1.3665,1.0,1.0,1.0,1.193,1.219,True
CD011381,46,ratio,0.1924,0.2234,-1.116,1.5008,2.6168,-0.7788,1.1636,1.9424,-0.7811,1.166,1.9471,0.848,0.717,0.717,1.347,1.344,True
CD011535,38,ratio,3.292,0.2172,-2.0893,8.6734,10.7628,2.2965,4.2876,1.9912,2.306,4.2781,1.9721,1.0,0.868,0.868,5.405,5.458,True
CD011600,5,ratio,0.4633,0,0.0568,0.8699,0.8131,0.1787,0.7479,0.5692,0.2273,0.6994,0.4721,0.8,0.6,0.6,1.428,1.722,True
CD011626,11,ratio,0.5696,0.3305,-4.728,5.8672,10.5952,-0.9601,2.0993,3.0594,-0.9094,2.0485,2.9579,1.0,0.818,0.818,3.463,3.582,True
CD011627,8,ratio,-0.4069,0.6937,-2.4885,1.6746,4.1632,-2.6429,1.829,4.4719,-2.5937,1.7798,4.3735,0.875,0.875,0.875,0.931,0.952,False
CD011670,7,ratio,-0.0183,0.3688,-1.4379,1.4013,2.8392,-1.8333,1.7967,3.63,-1.7701,1.7334,3.5035,0.714,0.714,0.714,0.782,0.81,False
CD011671,17,ratio,-0.2485,0.0132,-0.853,0.3559,1.2088,-0.5219,0.0249,0.5468,-0.5238,0.0267,0.5504,0.941,0.647,0.647,2.211,2.196,True
CD011689,31,ratio,1.3332,0.288,-0.6502,3.3165,3.9667,0.2052,2.4611,2.2559,0.1852,2.4811,2.296,0.935,0.742,0.742,1.758,1.728,True
CD011762,29,ratio,-0.0351,0.0417,-1.6845,1.6142,3.2986,-0.5275,0.4572,0.9847,-0.5273,0.457,0.9843,0.931,0.345,0.345,3.35,3.351,True
CD011778,38,difference,0.4376,0.1838,-0.8448,1.72,2.5648,-0.4453,1.3204,1.7658,-0.4465,1.3216,1.7681,1.0,0.947,0.947,1.453,1.451,True
CD011793,13,ratio,-0.1285,0,-2.0781,1.8211,3.8992,-0.7332,0.4762,1.2094,-0.675,0.418,1.093,1.0,0.462,0.308,3.224,3.568,True
